Breakpoint 1 at 0x411854
Starting program: /challenge/integration-cimg-screenshot-win < exploit.cimg

Breakpoint 1, 0x0000000000411854 in handle_1337 ()
Dump of assembler code for function win:
   0x0000000000401576 <+0>:	endbr64
   0x000000000040a784 <+37390>:	call   0x401260 <exit@plt>
   0x000000000040a789 <+37395>:	movsxd rdx,eax
   0x000000000040a78c <+37398>:	mov    rsi,rbp
   0x000000000040a78f <+37401>:	mov    edi,0x1
   0x000000000040a794 <+37406>:	call   0x4011a0 <write@plt>
   0x000000000040a799 <+37411>:	lea    rdi,[rip+0x79b4]        # 0x412154
   0x000000000040a7a0 <+37418>:	call   0x401190 <puts@plt>
   0x000000000040a7a5 <+37423>:	lea    rdi,[rip+0x7858]        # 0x412004
   0x000000000040a7ac <+37430>:	xor    esi,esi
   0x000000000040a7ae <+37432>:	xor    eax,eax
   0x000000000040a7b0 <+37434>:	call   0x401250 <open@plt>
   0x000000000040a7b5 <+37439>:	mov    edi,eax
   0x000000000040a7b7 <+37441>:	test   eax,eax
   0x000000000040a7b9 <+37443>:	jns    0x40a7ef <win+37497>
   0x000000000040a7bb <+37445>:	call   0x401180 <__errno_location@plt>
   0x000000000040a7c0 <+37450>:	mov    edi,DWORD PTR [rax]
   0x000000000040a7c2 <+37452>:	call   0x401280 <strerror@plt>
   0x000000000040a7c7 <+37457>:	lea    rsi,[rip+0x783c]        # 0x41200a
   0x000000000040a7ce <+37464>:	mov    edi,0x1
   0x000000000040a7d3 <+37469>:	mov    rdx,rax
   0x000000000040a7d6 <+37472>:	xor    eax,eax
   0x000000000040a7d8 <+37474>:	call   0x401230 <__printf_chk@plt>
   0x000000000040a7dd <+37479>:	call   0x4011e0 <geteuid@plt>
   0x000000000040a7e2 <+37484>:	test   eax,eax
   0x000000000040a7e4 <+37486>:	je     0x4015d9 <win+99>
   0x000000000040a7ea <+37492>:	jmp    0x4015c1 <win+75>
   0x000000000040a7ef <+37497>:	mov    edx,0x100
   0x000000000040a7f4 <+37502>:	mov    rsi,rbp
   0x000000000040a7f7 <+37505>:	call   0x401200 <read@plt>
   0x000000000040a7fc <+37510>:	test   eax,eax
   0x000000000040a7fe <+37512>:	jg     0x40a82a <win+37556>
   0x000000000040a800 <+37514>:	call   0x401180 <__errno_location@plt>
   0x000000000040a805 <+37519>:	mov    edi,DWORD PTR [rax]
   0x000000000040a807 <+37521>:	call   0x401280 <strerror@plt>
   0x000000000040a80c <+37526>:	mov    edi,0x1
   0x000000000040a811 <+37531>:	lea    rsi,[rip+0x7891]        # 0x4120a9
   0x000000000040a818 <+37538>:	mov    rdx,rax
   0x000000000040a81b <+37541>:	xor    eax,eax
   0x000000000040a81d <+37543>:	call   0x401230 <__printf_chk@plt>
   0x000000000040a822 <+37548>:	or     edi,0xffffffff
   0x000000000040a825 <+37551>:	call   0x401260 <exit@plt>
   0x000000000040a82a <+37556>:	movsxd rdx,eax
   0x000000000040a82d <+37559>:	mov    rsi,rbp
   0x000000000040a830 <+37562>:	mov    edi,0x1
   0x000000000040a835 <+37567>:	call   0x4011a0 <write@plt>
   0x000000000040a83a <+37572>:	lea    rdi,[rip+0x7913]        # 0x412154
   0x000000000040a841 <+37579>:	call   0x401190 <puts@plt>
   0x000000000040a846 <+37584>:	lea    rdi,[rip+0x77b7]        # 0x412004
   0x000000000040a84d <+37591>:	xor    esi,esi
   0x000000000040a84f <+37593>:	xor    eax,eax
   0x000000000040a851 <+37595>:	call   0x401250 <open@plt>
   0x000000000040a856 <+37600>:	mov    edi,eax
   0x000000000040a858 <+37602>:	test   eax,eax
   0x000000000040a85a <+37604>:	jns    0x40a890 <win+37658>
   0x000000000040a85c <+37606>:	call   0x401180 <__errno_location@plt>
   0x000000000040a861 <+37611>:	mov    edi,DWORD PTR [rax]
   0x000000000040a863 <+37613>:	call   0x401280 <strerror@plt>
   0x000000000040a868 <+37618>:	lea    rsi,[rip+0x779b]        # 0x41200a
   0x000000000040a86f <+37625>:	mov    edi,0x1
   0x000000000040a874 <+37630>:	mov    rdx,rax
   0x000000000040a877 <+37633>:	xor    eax,eax
   0x000000000040a879 <+37635>:	call   0x401230 <__printf_chk@plt>
   0x000000000040a87e <+37640>:	call   0x4011e0 <geteuid@plt>
   0x000000000040a883 <+37645>:	test   eax,eax
   0x000000000040a885 <+37647>:	je     0x4015d9 <win+99>
   0x000000000040a88b <+37653>:	jmp    0x4015c1 <win+75>
   0x000000000040a890 <+37658>:	mov    edx,0x100
   0x000000000040a895 <+37663>:	mov    rsi,rbp
   0x000000000040a898 <+37666>:	call   0x401200 <read@plt>
   0x000000000040a89d <+37671>:	test   eax,eax
   0x000000000040a89f <+37673>:	jg     0x40a8cb <win+37717>
   0x000000000040a8a1 <+37675>:	call   0x401180 <__errno_location@plt>
   0x000000000040a8a6 <+37680>:	mov    edi,DWORD PTR [rax]
   0x000000000040a8a8 <+37682>:	call   0x401280 <strerror@plt>
   0x000000000040a8ad <+37687>:	mov    edi,0x1
   0x000000000040a8b2 <+37692>:	lea    rsi,[rip+0x77f0]        # 0x4120a9
   0x000000000040a8b9 <+37699>:	mov    rdx,rax
   0x000000000040a8bc <+37702>:	xor    eax,eax
   0x000000000040a8be <+37704>:	call   0x401230 <__printf_chk@plt>
   0x000000000040a8c3 <+37709>:	or     edi,0xffffffff
   0x000000000040a8c6 <+37712>:	call   0x401260 <exit@plt>
   0x000000000040a8cb <+37717>:	movsxd rdx,eax
   0x000000000040a8ce <+37720>:	mov    rsi,rbp
   0x000000000040a8d1 <+37723>:	mov    edi,0x1
   0x000000000040a8d6 <+37728>:	call   0x4011a0 <write@plt>
   0x000000000040a8db <+37733>:	lea    rdi,[rip+0x7872]        # 0x412154
   0x000000000040a8e2 <+37740>:	call   0x401190 <puts@plt>
   0x000000000040a8e7 <+37745>:	lea    rdi,[rip+0x7716]        # 0x412004
   0x000000000040a8ee <+37752>:	xor    esi,esi
   0x000000000040a8f0 <+37754>:	xor    eax,eax
   0x000000000040a8f2 <+37756>:	call   0x401250 <open@plt>
   0x000000000040a8f7 <+37761>:	mov    edi,eax
   0x000000000040a8f9 <+37763>:	test   eax,eax
   0x000000000040a8fb <+37765>:	jns    0x40a931 <win+37819>
   0x000000000040a8fd <+37767>:	call   0x401180 <__errno_location@plt>
   0x000000000040a902 <+37772>:	mov    edi,DWORD PTR [rax]
   0x000000000040a904 <+37774>:	call   0x401280 <strerror@plt>
   0x000000000040a909 <+37779>:	lea    rsi,[rip+0x76fa]        # 0x41200a
   0x000000000040a910 <+37786>:	mov    edi,0x1
   0x000000000040a915 <+37791>:	mov    rdx,rax
   0x000000000040a918 <+37794>:	xor    eax,eax
   0x000000000040a91a <+37796>:	call   0x401230 <__printf_chk@plt>
   0x000000000040a91f <+37801>:	call   0x4011e0 <geteuid@plt>
   0x000000000040a924 <+37806>:	test   eax,eax
   0x000000000040a926 <+37808>:	je     0x4015d9 <win+99>
   0x000000000040a92c <+37814>:	jmp    0x4015c1 <win+75>
   0x000000000040a931 <+37819>:	mov    edx,0x100
   0x000000000040a936 <+37824>:	mov    rsi,rbp
   0x000000000040a939 <+37827>:	call   0x401200 <read@plt>
   0x000000000040a93e <+37832>:	test   eax,eax
   0x000000000040a940 <+37834>:	jg     0x40a96c <win+37878>
   0x000000000040a942 <+37836>:	call   0x401180 <__errno_location@plt>
   0x000000000040a947 <+37841>:	mov    edi,DWORD PTR [rax]
   0x000000000040a949 <+37843>:	call   0x401280 <strerror@plt>
   0x000000000040a94e <+37848>:	mov    edi,0x1
   0x000000000040a953 <+37853>:	lea    rsi,[rip+0x774f]        # 0x4120a9
   0x000000000040a95a <+37860>:	mov    rdx,rax
   0x000000000040a95d <+37863>:	xor    eax,eax
   0x000000000040a95f <+37865>:	call   0x401230 <__printf_chk@plt>
   0x000000000040a964 <+37870>:	or     edi,0xffffffff
   0x000000000040a967 <+37873>:	call   0x401260 <exit@plt>
   0x000000000040a96c <+37878>:	movsxd rdx,eax
   0x000000000040a96f <+37881>:	mov    rsi,rbp
   0x000000000040a972 <+37884>:	mov    edi,0x1
   0x000000000040a977 <+37889>:	call   0x4011a0 <write@plt>
   0x000000000040a97c <+37894>:	lea    rdi,[rip+0x77d1]        # 0x412154
   0x000000000040a983 <+37901>:	call   0x401190 <puts@plt>
   0x000000000040a988 <+37906>:	lea    rdi,[rip+0x7675]        # 0x412004
   0x000000000040a98f <+37913>:	xor    esi,esi
   0x000000000040a991 <+37915>:	xor    eax,eax
   0x000000000040a993 <+37917>:	call   0x401250 <open@plt>
   0x000000000040a998 <+37922>:	mov    edi,eax
   0x000000000040a99a <+37924>:	test   eax,eax
   0x000000000040a99c <+37926>:	jns    0x40a9d2 <win+37980>
   0x000000000040a99e <+37928>:	call   0x401180 <__errno_location@plt>
   0x000000000040a9a3 <+37933>:	mov    edi,DWORD PTR [rax]
   0x000000000040a9a5 <+37935>:	call   0x401280 <strerror@plt>
   0x000000000040a9aa <+37940>:	lea    rsi,[rip+0x7659]        # 0x41200a
   0x000000000040a9b1 <+37947>:	mov    edi,0x1
   0x000000000040a9b6 <+37952>:	mov    rdx,rax
   0x000000000040a9b9 <+37955>:	xor    eax,eax
   0x000000000040a9bb <+37957>:	call   0x401230 <__printf_chk@plt>
   0x000000000040a9c0 <+37962>:	call   0x4011e0 <geteuid@plt>
   0x000000000040a9c5 <+37967>:	test   eax,eax
   0x000000000040a9c7 <+37969>:	je     0x4015d9 <win+99>
   0x000000000040a9cd <+37975>:	jmp    0x4015c1 <win+75>
   0x000000000040a9d2 <+37980>:	mov    edx,0x100
   0x000000000040a9d7 <+37985>:	mov    rsi,rbp
   0x000000000040a9da <+37988>:	call   0x401200 <read@plt>
   0x000000000040a9df <+37993>:	test   eax,eax
   0x000000000040a9e1 <+37995>:	jg     0x40aa0d <win+38039>
   0x000000000040a9e3 <+37997>:	call   0x401180 <__errno_location@plt>
   0x000000000040a9e8 <+38002>:	mov    edi,DWORD PTR [rax]
   0x000000000040a9ea <+38004>:	call   0x401280 <strerror@plt>
   0x000000000040a9ef <+38009>:	mov    edi,0x1
   0x000000000040a9f4 <+38014>:	lea    rsi,[rip+0x76ae]        # 0x4120a9
   0x000000000040a9fb <+38021>:	mov    rdx,rax
   0x000000000040a9fe <+38024>:	xor    eax,eax
   0x000000000040aa00 <+38026>:	call   0x401230 <__printf_chk@plt>
   0x000000000040aa05 <+38031>:	or     edi,0xffffffff
   0x000000000040aa08 <+38034>:	call   0x401260 <exit@plt>
   0x000000000040aa0d <+38039>:	movsxd rdx,eax
   0x000000000040aa10 <+38042>:	mov    rsi,rbp
   0x000000000040aa13 <+38045>:	mov    edi,0x1
   0x000000000040aa18 <+38050>:	call   0x4011a0 <write@plt>
   0x000000000040aa1d <+38055>:	lea    rdi,[rip+0x7730]        # 0x412154
   0x000000000040aa24 <+38062>:	call   0x401190 <puts@plt>
   0x000000000040aa29 <+38067>:	lea    rdi,[rip+0x75d4]        # 0x412004
   0x000000000040aa30 <+38074>:	xor    esi,esi
   0x000000000040aa32 <+38076>:	xor    eax,eax
   0x000000000040aa34 <+38078>:	call   0x401250 <open@plt>
   0x000000000040aa39 <+38083>:	mov    edi,eax
   0x000000000040aa3b <+38085>:	test   eax,eax
   0x000000000040aa3d <+38087>:	jns    0x40aa73 <win+38141>
   0x000000000040aa3f <+38089>:	call   0x401180 <__errno_location@plt>
   0x000000000040aa44 <+38094>:	mov    edi,DWORD PTR [rax]
   0x000000000040aa46 <+38096>:	call   0x401280 <strerror@plt>
   0x000000000040aa4b <+38101>:	lea    rsi,[rip+0x75b8]        # 0x41200a
   0x000000000040aa52 <+38108>:	mov    edi,0x1
   0x000000000040aa57 <+38113>:	mov    rdx,rax
   0x000000000040aa5a <+38116>:	xor    eax,eax
   0x000000000040aa5c <+38118>:	call   0x401230 <__printf_chk@plt>
   0x000000000040aa61 <+38123>:	call   0x4011e0 <geteuid@plt>
   0x000000000040aa66 <+38128>:	test   eax,eax
   0x000000000040aa68 <+38130>:	je     0x4015d9 <win+99>
   0x000000000040aa6e <+38136>:	jmp    0x4015c1 <win+75>
   0x000000000040aa73 <+38141>:	mov    edx,0x100
   0x000000000040aa78 <+38146>:	mov    rsi,rbp
   0x000000000040aa7b <+38149>:	call   0x401200 <read@plt>
   0x000000000040aa80 <+38154>:	test   eax,eax
   0x000000000040aa82 <+38156>:	jg     0x40aaae <win+38200>
   0x000000000040aa84 <+38158>:	call   0x401180 <__errno_location@plt>
   0x000000000040aa89 <+38163>:	mov    edi,DWORD PTR [rax]
   0x000000000040aa8b <+38165>:	call   0x401280 <strerror@plt>
   0x000000000040aa90 <+38170>:	mov    edi,0x1
   0x000000000040aa95 <+38175>:	lea    rsi,[rip+0x760d]        # 0x4120a9
   0x000000000040aa9c <+38182>:	mov    rdx,rax
   0x000000000040aa9f <+38185>:	xor    eax,eax
   0x000000000040aaa1 <+38187>:	call   0x401230 <__printf_chk@plt>
   0x000000000040aaa6 <+38192>:	or     edi,0xffffffff
   0x000000000040aaa9 <+38195>:	call   0x401260 <exit@plt>
   0x000000000040aaae <+38200>:	movsxd rdx,eax
   0x000000000040aab1 <+38203>:	mov    rsi,rbp
   0x000000000040aab4 <+38206>:	mov    edi,0x1
   0x000000000040aab9 <+38211>:	call   0x4011a0 <write@plt>
   0x000000000040aabe <+38216>:	lea    rdi,[rip+0x768f]        # 0x412154
   0x000000000040aac5 <+38223>:	call   0x401190 <puts@plt>
   0x000000000040aaca <+38228>:	lea    rdi,[rip+0x7533]        # 0x412004
   0x000000000040aad1 <+38235>:	xor    esi,esi
   0x000000000040aad3 <+38237>:	xor    eax,eax
   0x000000000040aad5 <+38239>:	call   0x401250 <open@plt>
   0x000000000040aada <+38244>:	mov    edi,eax
   0x000000000040aadc <+38246>:	test   eax,eax
   0x000000000040aade <+38248>:	jns    0x40ab14 <win+38302>
   0x000000000040aae0 <+38250>:	call   0x401180 <__errno_location@plt>
   0x000000000040aae5 <+38255>:	mov    edi,DWORD PTR [rax]
   0x000000000040aae7 <+38257>:	call   0x401280 <strerror@plt>
   0x000000000040aaec <+38262>:	lea    rsi,[rip+0x7517]        # 0x41200a
   0x000000000040aaf3 <+38269>:	mov    edi,0x1
   0x000000000040aaf8 <+38274>:	mov    rdx,rax
   0x000000000040aafb <+38277>:	xor    eax,eax
   0x000000000040aafd <+38279>:	call   0x401230 <__printf_chk@plt>
   0x000000000040ab02 <+38284>:	call   0x4011e0 <geteuid@plt>
   0x000000000040ab07 <+38289>:	test   eax,eax
   0x000000000040ab09 <+38291>:	je     0x4015d9 <win+99>
   0x000000000040ab0f <+38297>:	jmp    0x4015c1 <win+75>
   0x000000000040ab14 <+38302>:	mov    edx,0x100
   0x000000000040ab19 <+38307>:	mov    rsi,rbp
   0x000000000040ab1c <+38310>:	call   0x401200 <read@plt>
   0x000000000040ab21 <+38315>:	test   eax,eax
   0x000000000040ab23 <+38317>:	jg     0x40ab4f <win+38361>
   0x000000000040ab25 <+38319>:	call   0x401180 <__errno_location@plt>
   0x000000000040ab2a <+38324>:	mov    edi,DWORD PTR [rax]
   0x000000000040ab2c <+38326>:	call   0x401280 <strerror@plt>
   0x000000000040ab31 <+38331>:	mov    edi,0x1
   0x000000000040ab36 <+38336>:	lea    rsi,[rip+0x756c]        # 0x4120a9
   0x000000000040ab3d <+38343>:	mov    rdx,rax
   0x000000000040ab40 <+38346>:	xor    eax,eax
   0x000000000040ab42 <+38348>:	call   0x401230 <__printf_chk@plt>
   0x000000000040ab47 <+38353>:	or     edi,0xffffffff
   0x000000000040ab4a <+38356>:	call   0x401260 <exit@plt>
   0x000000000040ab4f <+38361>:	movsxd rdx,eax
   0x000000000040ab52 <+38364>:	mov    rsi,rbp
   0x000000000040ab55 <+38367>:	mov    edi,0x1
   0x000000000040ab5a <+38372>:	call   0x4011a0 <write@plt>
   0x000000000040ab5f <+38377>:	lea    rdi,[rip+0x75ee]        # 0x412154
   0x000000000040ab66 <+38384>:	call   0x401190 <puts@plt>
   0x000000000040ab6b <+38389>:	lea    rdi,[rip+0x7492]        # 0x412004
   0x000000000040ab72 <+38396>:	xor    esi,esi
   0x000000000040ab74 <+38398>:	xor    eax,eax
   0x000000000040ab76 <+38400>:	call   0x401250 <open@plt>
   0x000000000040ab7b <+38405>:	mov    edi,eax
   0x000000000040ab7d <+38407>:	test   eax,eax
   0x000000000040ab7f <+38409>:	jns    0x40abb5 <win+38463>
   0x000000000040ab81 <+38411>:	call   0x401180 <__errno_location@plt>
   0x000000000040ab86 <+38416>:	mov    edi,DWORD PTR [rax]
   0x000000000040ab88 <+38418>:	call   0x401280 <strerror@plt>
   0x000000000040ab8d <+38423>:	lea    rsi,[rip+0x7476]        # 0x41200a
   0x000000000040ab94 <+38430>:	mov    edi,0x1
   0x000000000040ab99 <+38435>:	mov    rdx,rax
   0x000000000040ab9c <+38438>:	xor    eax,eax
   0x000000000040ab9e <+38440>:	call   0x401230 <__printf_chk@plt>
   0x000000000040aba3 <+38445>:	call   0x4011e0 <geteuid@plt>
   0x000000000040aba8 <+38450>:	test   eax,eax
   0x000000000040abaa <+38452>:	je     0x4015d9 <win+99>
   0x000000000040abb0 <+38458>:	jmp    0x4015c1 <win+75>
   0x000000000040abb5 <+38463>:	mov    edx,0x100
   0x000000000040abba <+38468>:	mov    rsi,rbp
   0x000000000040abbd <+38471>:	call   0x401200 <read@plt>
   0x000000000040abc2 <+38476>:	test   eax,eax
   0x000000000040abc4 <+38478>:	jg     0x40abf0 <win+38522>
   0x000000000040abc6 <+38480>:	call   0x401180 <__errno_location@plt>
   0x000000000040abcb <+38485>:	mov    edi,DWORD PTR [rax]
   0x000000000040abcd <+38487>:	call   0x401280 <strerror@plt>
   0x000000000040abd2 <+38492>:	mov    edi,0x1
   0x000000000040abd7 <+38497>:	lea    rsi,[rip+0x74cb]        # 0x4120a9
   0x000000000040abde <+38504>:	mov    rdx,rax
   0x000000000040abe1 <+38507>:	xor    eax,eax
   0x000000000040abe3 <+38509>:	call   0x401230 <__printf_chk@plt>
   0x000000000040abe8 <+38514>:	or     edi,0xffffffff
   0x000000000040abeb <+38517>:	call   0x401260 <exit@plt>
   0x000000000040abf0 <+38522>:	movsxd rdx,eax
   0x000000000040abf3 <+38525>:	mov    rsi,rbp
   0x000000000040abf6 <+38528>:	mov    edi,0x1
   0x000000000040abfb <+38533>:	call   0x4011a0 <write@plt>
   0x000000000040ac00 <+38538>:	lea    rdi,[rip+0x754d]        # 0x412154
   0x000000000040ac07 <+38545>:	call   0x401190 <puts@plt>
   0x000000000040ac0c <+38550>:	lea    rdi,[rip+0x73f1]        # 0x412004
   0x000000000040ac13 <+38557>:	xor    esi,esi
   0x000000000040ac15 <+38559>:	xor    eax,eax
   0x000000000040ac17 <+38561>:	call   0x401250 <open@plt>
   0x000000000040ac1c <+38566>:	mov    edi,eax
   0x000000000040ac1e <+38568>:	test   eax,eax
   0x000000000040ac20 <+38570>:	jns    0x40ac56 <win+38624>
   0x000000000040ac22 <+38572>:	call   0x401180 <__errno_location@plt>
   0x000000000040ac27 <+38577>:	mov    edi,DWORD PTR [rax]
   0x000000000040ac29 <+38579>:	call   0x401280 <strerror@plt>
   0x000000000040ac2e <+38584>:	lea    rsi,[rip+0x73d5]        # 0x41200a
   0x000000000040ac35 <+38591>:	mov    edi,0x1
   0x000000000040ac3a <+38596>:	mov    rdx,rax
   0x000000000040ac3d <+38599>:	xor    eax,eax
   0x000000000040ac3f <+38601>:	call   0x401230 <__printf_chk@plt>
   0x000000000040ac44 <+38606>:	call   0x4011e0 <geteuid@plt>
   0x000000000040ac49 <+38611>:	test   eax,eax
   0x000000000040ac4b <+38613>:	je     0x4015d9 <win+99>
   0x000000000040ac51 <+38619>:	jmp    0x4015c1 <win+75>
   0x000000000040ac56 <+38624>:	mov    edx,0x100
   0x000000000040ac5b <+38629>:	mov    rsi,rbp
   0x000000000040ac5e <+38632>:	call   0x401200 <read@plt>
   0x000000000040ac63 <+38637>:	test   eax,eax
   0x000000000040ac65 <+38639>:	jg     0x40ac91 <win+38683>
   0x000000000040ac67 <+38641>:	call   0x401180 <__errno_location@plt>
   0x000000000040ac6c <+38646>:	mov    edi,DWORD PTR [rax]
   0x000000000040ac6e <+38648>:	call   0x401280 <strerror@plt>
   0x000000000040ac73 <+38653>:	mov    edi,0x1
   0x000000000040ac78 <+38658>:	lea    rsi,[rip+0x742a]        # 0x4120a9
   0x000000000040ac7f <+38665>:	mov    rdx,rax
   0x000000000040ac82 <+38668>:	xor    eax,eax
   0x000000000040ac84 <+38670>:	call   0x401230 <__printf_chk@plt>
   0x000000000040ac89 <+38675>:	or     edi,0xffffffff
   0x000000000040ac8c <+38678>:	call   0x401260 <exit@plt>
   0x000000000040ac91 <+38683>:	mov    rbp,rsp
   0x000000000040ac94 <+38686>:	movsxd rdx,eax
   0x000000000040ac97 <+38689>:	mov    edi,0x1
   0x000000000040ac9c <+38694>:	mov    rsi,rbp
   0x000000000040ac9f <+38697>:	call   0x4011a0 <write@plt>
   0x000000000040aca4 <+38702>:	lea    rdi,[rip+0x74a9]        # 0x412154
   0x000000000040acab <+38709>:	call   0x401190 <puts@plt>
   0x000000000040acb0 <+38714>:	lea    rdi,[rip+0x734d]        # 0x412004
   0x000000000040acb7 <+38721>:	xor    esi,esi
   0x000000000040acb9 <+38723>:	xor    eax,eax
   0x000000000040acbb <+38725>:	call   0x401250 <open@plt>
   0x000000000040acc0 <+38730>:	mov    edi,eax
   0x000000000040acc2 <+38732>:	test   eax,eax
   0x000000000040acc4 <+38734>:	jns    0x40acfa <win+38788>
   0x000000000040acc6 <+38736>:	call   0x401180 <__errno_location@plt>
   0x000000000040accb <+38741>:	mov    edi,DWORD PTR [rax]
   0x000000000040accd <+38743>:	call   0x401280 <strerror@plt>
   0x000000000040acd2 <+38748>:	lea    rsi,[rip+0x7331]        # 0x41200a
   0x000000000040acd9 <+38755>:	mov    edi,0x1
   0x000000000040acde <+38760>:	mov    rdx,rax
   0x000000000040ace1 <+38763>:	xor    eax,eax
   0x000000000040ace3 <+38765>:	call   0x401230 <__printf_chk@plt>
   0x000000000040ace8 <+38770>:	call   0x4011e0 <geteuid@plt>
   0x000000000040aced <+38775>:	test   eax,eax
   0x000000000040acef <+38777>:	je     0x4015d9 <win+99>
   0x000000000040acf5 <+38783>:	jmp    0x4015c1 <win+75>
   0x000000000040acfa <+38788>:	mov    edx,0x100
   0x000000000040acff <+38793>:	mov    rsi,rbp
   0x000000000040ad02 <+38796>:	call   0x401200 <read@plt>
   0x000000000040ad07 <+38801>:	test   eax,eax
   0x000000000040ad09 <+38803>:	jg     0x40ad35 <win+38847>
   0x000000000040ad0b <+38805>:	call   0x401180 <__errno_location@plt>
   0x000000000040ad10 <+38810>:	mov    edi,DWORD PTR [rax]
   0x000000000040ad12 <+38812>:	call   0x401280 <strerror@plt>
   0x000000000040ad17 <+38817>:	mov    edi,0x1
   0x000000000040ad1c <+38822>:	lea    rsi,[rip+0x7386]        # 0x4120a9
   0x000000000040ad23 <+38829>:	mov    rdx,rax
   0x000000000040ad26 <+38832>:	xor    eax,eax
   0x000000000040ad28 <+38834>:	call   0x401230 <__printf_chk@plt>
   0x000000000040ad2d <+38839>:	or     edi,0xffffffff
   0x000000000040ad30 <+38842>:	call   0x401260 <exit@plt>
   0x000000000040ad35 <+38847>:	movsxd rdx,eax
   0x000000000040ad38 <+38850>:	mov    rsi,rbp
   0x000000000040ad3b <+38853>:	mov    edi,0x1
   0x000000000040ad40 <+38858>:	call   0x4011a0 <write@plt>
   0x000000000040ad45 <+38863>:	lea    rdi,[rip+0x7408]        # 0x412154
   0x000000000040ad4c <+38870>:	call   0x401190 <puts@plt>
   0x000000000040ad51 <+38875>:	lea    rdi,[rip+0x72ac]        # 0x412004
   0x000000000040ad58 <+38882>:	xor    esi,esi
   0x000000000040ad5a <+38884>:	xor    eax,eax
   0x000000000040ad5c <+38886>:	call   0x401250 <open@plt>
   0x000000000040ad61 <+38891>:	mov    edi,eax
   0x000000000040ad63 <+38893>:	test   eax,eax
   0x000000000040ad65 <+38895>:	jns    0x40ad9b <win+38949>
   0x000000000040ad67 <+38897>:	call   0x401180 <__errno_location@plt>
   0x000000000040ad6c <+38902>:	mov    edi,DWORD PTR [rax]
   0x000000000040ad6e <+38904>:	call   0x401280 <strerror@plt>
   0x000000000040ad73 <+38909>:	lea    rsi,[rip+0x7290]        # 0x41200a
   0x000000000040ad7a <+38916>:	mov    edi,0x1
   0x000000000040ad7f <+38921>:	mov    rdx,rax
   0x000000000040ad82 <+38924>:	xor    eax,eax
   0x000000000040ad84 <+38926>:	call   0x401230 <__printf_chk@plt>
   0x000000000040ad89 <+38931>:	call   0x4011e0 <geteuid@plt>
   0x000000000040ad8e <+38936>:	test   eax,eax
   0x000000000040ad90 <+38938>:	je     0x4015d9 <win+99>
   0x000000000040ad96 <+38944>:	jmp    0x4015c1 <win+75>
   0x000000000040ad9b <+38949>:	mov    edx,0x100
   0x000000000040ada0 <+38954>:	mov    rsi,rbp
   0x000000000040ada3 <+38957>:	call   0x401200 <read@plt>
   0x000000000040ada8 <+38962>:	test   eax,eax
   0x000000000040adaa <+38964>:	jg     0x40add6 <win+39008>
   0x000000000040adac <+38966>:	call   0x401180 <__errno_location@plt>
   0x000000000040adb1 <+38971>:	mov    edi,DWORD PTR [rax]
   0x000000000040adb3 <+38973>:	call   0x401280 <strerror@plt>
   0x000000000040adb8 <+38978>:	mov    edi,0x1
   0x000000000040adbd <+38983>:	lea    rsi,[rip+0x72e5]        # 0x4120a9
   0x000000000040adc4 <+38990>:	mov    rdx,rax
   0x000000000040adc7 <+38993>:	xor    eax,eax
   0x000000000040adc9 <+38995>:	call   0x401230 <__printf_chk@plt>
   0x000000000040adce <+39000>:	or     edi,0xffffffff
   0x000000000040add1 <+39003>:	call   0x401260 <exit@plt>
   0x000000000040add6 <+39008>:	movsxd rdx,eax
   0x000000000040add9 <+39011>:	mov    rsi,rbp
   0x000000000040addc <+39014>:	mov    edi,0x1
   0x000000000040ade1 <+39019>:	call   0x4011a0 <write@plt>
   0x000000000040ade6 <+39024>:	lea    rdi,[rip+0x7367]        # 0x412154
   0x000000000040aded <+39031>:	call   0x401190 <puts@plt>
   0x000000000040adf2 <+39036>:	lea    rdi,[rip+0x720b]        # 0x412004
   0x000000000040adf9 <+39043>:	xor    esi,esi
   0x000000000040adfb <+39045>:	xor    eax,eax
   0x000000000040adfd <+39047>:	call   0x401250 <open@plt>
   0x000000000040ae02 <+39052>:	mov    edi,eax
   0x000000000040ae04 <+39054>:	test   eax,eax
   0x000000000040ae06 <+39056>:	jns    0x40ae3c <win+39110>
   0x000000000040ae08 <+39058>:	call   0x401180 <__errno_location@plt>
   0x000000000040ae0d <+39063>:	mov    edi,DWORD PTR [rax]
   0x000000000040ae0f <+39065>:	call   0x401280 <strerror@plt>
   0x000000000040ae14 <+39070>:	lea    rsi,[rip+0x71ef]        # 0x41200a
   0x000000000040ae1b <+39077>:	mov    edi,0x1
   0x000000000040ae20 <+39082>:	mov    rdx,rax
   0x000000000040ae23 <+39085>:	xor    eax,eax
   0x000000000040ae25 <+39087>:	call   0x401230 <__printf_chk@plt>
   0x000000000040ae2a <+39092>:	call   0x4011e0 <geteuid@plt>
   0x000000000040ae2f <+39097>:	test   eax,eax
   0x000000000040ae31 <+39099>:	je     0x4015d9 <win+99>
   0x000000000040ae37 <+39105>:	jmp    0x4015c1 <win+75>
   0x000000000040ae3c <+39110>:	mov    edx,0x100
   0x000000000040ae41 <+39115>:	mov    rsi,rbp
   0x000000000040ae44 <+39118>:	call   0x401200 <read@plt>
   0x000000000040ae49 <+39123>:	test   eax,eax
   0x000000000040ae4b <+39125>:	jg     0x40ae77 <win+39169>
